timestamp,tweet_text,Location
2020-03-30 18:22:45+00:00,b'@corrie206 @capt_depression @DieStoph \xf0\x9f\x92\x80\xf0\x9f\x92\x80\xf0\x9f\x92\x80',Abu Dhabi 
2020-03-30 18:21:39+00:00,b'@capt_depression @corrie206 @DieStoph \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82  But thanks for the interesting info.',Abu Dhabi 
2020-03-30 18:12:08+00:00,"b'\xe2\x80\x9cThey Survived the Spanish Flu, the Depression and the Holocaust Two extraordinary women \xe2\x80\x94 one 101, the other 95 \xe2\x80\x94 lived through the worst of the 20th century. They have some advice for you.\xe2\x80\x9d  https://t.co/tTnGXtQQnc  #Coronavirus #Covid19 https://t.co/cXptmZbfS4'","Dubai, United Arab Emirates"
2020-03-30 18:08:55+00:00,b'Turn on the music before th\xe2\x80\x99 depression takes over.',United Arab Emirates
2020-03-30 17:29:50+00:00,b'@depression_lylo Dec',"Dubai, United Arab Emirates"
2020-03-30 16:53:16+00:00,"b'We know that the doctors, nurses and other healthcare providers and first responders are under extreme stress. We are here for you ! #Trauma #Threrapy #CrisisIntervention #Covid19 #Psychology #MentalHealthAwareness #StressedDoctors #Depression #Counselling #ThatsHowLifeWorks https://t.co/m50jPW92hZ'","Dubai, United Arab Emirates"
2020-04-29 23:42:31+00:00,b'Crude oil  biggest Bear market started....  Biggest Bond market bear market started...  Gold bull market started...  Equity collapsed started today onwards for currency exchange crisis globally...  Its call Great Depression after @1987....',"Dubai, United Arab Emirates"
2020-04-29 21:28:07+00:00,b'Sending prayers to anyone suffering from depression and anxiety. You deserve to sleep well tonight.',"Abu Dhabi, AE"
2020-04-29 20:30:51+00:00,b'Job search = Depression',"Dubai, United Arab Emirates"
2020-04-29 19:58:42+00:00,"b""Ten reasons why a 'Greater Depression' for the 2020s is inevitable https://t.co/rzwLje84uu""",Dubai
2020-04-29 19:32:51+00:00,b'This thread almost cured my depression https://t.co/ObtZ2spNJy',Abu Dhabi 
2020-04-29 19:00:56+00:00,"b'@PMOIndia @HardeepSPuri  Pls resume international outbound flights from India Our jobs,visa and livelihood is in danger. Please listen to our pleas as it causing a lot of panic&amp;depression https://t.co/3etgIBAWAp'","Dubai, United Arab Emirates"
2020-04-29 19:00:17+00:00,"b'@PMOIndia @HardeepSPuri @JPNadda Pls resume international outbound flights from India Our jobs,visa and livelihood is in danger. Please listen to our pleas as it causing a lot of panic &amp; depression https://t.co/sTCwvevdIW'","Dubai, United Arab Emirates"
2020-04-29 18:07:11+00:00,b'@capt_depression Thanks',Dubai via Cape Town
2020-04-29 17:48:48+00:00,"b'@capt_depression Hecto, sorry man.'",Dubai via Cape Town
2020-04-29 17:08:07+00:00,b'WATCH NOW: Dr. Mamdouh Salameh: The #coronavirus outbreak could go in to history as the largest destructive event that hit the global economy since the Great Depression of the 1930\xe2\x80\x99s.  https://t.co/Xvqk0p319x https://t.co/Dxh81cYYXa',"Abu Dhabi, UAE"
2020-04-29 16:48:42+00:00,b'Depression &amp; anxiety \xf0\x9f\xa4\x94\xf0\x9f\xa4\x94\xf0\x9f\xa4\x94   Never heard these 15yrs ago; where have they come from ?',"Dubai, United Arab Emirates"
2020-04-29 16:19:35+00:00,"b'@PMOIndia @HardeepSPuri @DGCAIndia @ArvindKejriwal  Pls resume international outbound flights from India Our jobs,visa and livelihood is in danger. Please listen to our pleas as it causing a lot of panic&amp;depression https://t.co/Ot3AOcTmtj'","Dubai, United Arab Emirates"
2020-04-29 16:15:25+00:00,"b'@PMOIndia @HardeepSPuri @AAI_Official We will be next if you dont open International Flight from India Pls resume international outbound flights from India Our jobs,visa and livelihood is in danger. Please listen to our pleas as it causing a lot of panic&amp;depression https://t.co/nwnt9YZhWt'","Dubai, United Arab Emirates"
2020-04-29 16:13:53+00:00,"b'@PMOIndia @HardeepSPuri @smritiirani RIP Irfan Khan  We will be next if you dont open International Flight from India Pls resume international outbound flights from India Our jobs,visa and livelihood is in danger. Please listen to our pleas as it causing a lot of panic&amp;depression https://t.co/co1JZm7Ge5'","Dubai, United Arab Emirates"
2020-04-29 16:12:20+00:00,"b'@PMOIndia @HardeepSPuri RIP Irfan Khan  We will be next if you dont open International Flight from India Please resume international outbound flights from India  Our jobs, visa and livelihood is in danger. Please listen to our pleas as it causing a lot of panic and depression \xf0\x9f\x99\x8f https://t.co/VBt9EAKzic'","Dubai, United Arab Emirates"
2020-05-30 21:36:35+00:00,b'\xd8\xa8\xd8\xa7\xd9\x84\xd9\x85\xd9\x86\xd8\xa7\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x81\xd8\xaa\xd8\xb1\xd8\xa9 \xd8\xaf\xd9\x8a \xd9\x83\xd8\xa7\xd9\x86\xd8\xaa \xd9\x85\xd9\x86 \xd8\xa7\xd8\xb3\xd9\x88\xd8\xa3 \xd9\x81\xd8\xaa\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xad\xd9\x8a\xd8\xa7\xd8\xaa\xd9\x8a \xd8\xaa\xd9\x82\xd8\xb1\xd9\x8a\xd8\xa8\xd8\xa7\xd9\x8b\xd8\x8c \xd9\x83\xd9\x86\xd8\xaa \xd8\xa8\xd9\x82\xd8\xa7\xd9\x84\xd9\x8a \xd9\x83\xd8\xa7\xd9\x85 \xd8\xb4\xd9\x87\xd8\xb1 \xd9\x84\xd8\xb3\xd8\xa9 \xd9\x85\xd9\x83\xd8\xaa\xd8\xb4\xd9\x81 \xd8\xa5\xd9\x86\xd9\x8a \xd8\xb9\xd9\x86\xd8\xaf\xd9\x8a persistent depression \xd9\x88 \xd8\xa7\xd9\x84\xd9\x8a \xd9\x83\xd8\xa7\xd9\x86 \xd8\xb9\xd8\xa7\xd9\x8a\xd8\xb4 \xd9\x85\xd8\xb9\xd8\xa7\xd9\x8a\xd8\xa7 \xd8\xa8\xd9\x82\xd8\xa7\xd9\x84\xd9\x87 \xd9\x81\xd8\xaa\xd8\xb1\xd8\xa9\xd8\x8c \xd9\x83\xd9\x86\xd8\xaa \xd9\x81\xd8\xa7\xd9\x82\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd9\x84 \xd9\x81\xd9\x8a \xd9\x83\xd9\x84 \xd8\xb4\xd9\x8a\xd8\xa1 \xd9\x88 \xd9\x83\xd8\xa7\xd9\x86 \xd8\xa8\xd9\x8a\xd8\xb9\xd8\xaf\xd9\x8a \xd8\xb9\xd9\x84\xd9\x8a\xd8\xa7 \xd8\xa3\xd9\x88\xd9\x82\xd8\xa7\xd8\xaa \xd8\xb5\xd8\xb9\xd8\xa8\xd8\xa9 \xd8\xac\xd8\xaf\xd8\xa7\xd9\x8b\xd8\x8c \xd9\x83\xd9\x86\xd8\xaa \xd8\xb9\xd8\xa7\xd9\x8a\xd8\xb4 \xd9\x85\xd9\x86 \xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd9\x88\xd8\xad \xd8\xaa\xd9\x82\xd8\xb1\xd9\x8a\xd8\xa8\xd8\xa7\xd9\x8b\xd8\x8c \xd8\xa8\xd8\xa7\xd9\x83\xd9\x84 \xd9\x88 \xd8\xa8\xd8\xb4\xd8\xb1\xd8\xa8 \xd8\xa8\xd8\xb4\xd9\x83\xd9\x84 \xd8\xba\xd9\x8a\xd8\xb1 \xd8\xb7\xd8\xa8\xd9\x8a\xd8\xb9\xd9\x8a \xd9\x8a\xd8\xa7 \xd8\xa5\xd9\x85\xd8\xa7 \xd9\x85\xd8\xa8\xd8\xa7\xd9\x83\xd9\x84\xd8\xb4 \xd8\xae\xd8\xa7\xd9\x84\xd8\xb5\xd8\x8c',"AbuDhabi, United Arab Emirates"
2020-05-30 20:31:16+00:00,"b'Wanted to be an astronaut as a kid but didn\xe2\x80\x99t think it could happen. So it didn\xe2\x80\x99t. Regret. One day if my daughter asks abt dreaming big I\xe2\x80\x99ll tell her about @elonmusk who in the middle of a pandemic, sharpest recession since the Great Depression, sent humans back into space @NASA https://t.co/MbVcfBnLbx'","Dubai, UAE"
2020-05-30 20:16:49+00:00,"b""Oman's Dhofar Governorate is currently experiencing thunderstorms, torrential rain affected by tropical depression with flooded wadis. https://t.co/Wd48ztVie2""","UAE, Sharjah"
2020-05-30 19:34:24+00:00,b'When It\xe2\x80\x99s Not the Blues: Depression in Children  https://t.co/W1pDcGHxEN',UAE
2020-05-30 19:29:31+00:00,"b'My boyfriend honestly deserves the world, but all i could give him is my  small titties and depression.'",Ras Al Khaimah
2020-05-30 18:15:33+00:00,"b""@RussellRowland7 @KailashChandOBE @Andrew_Steward9 @BorisJohnson Unfortunately there's no such thing as a mild depression. It's kinda like a brain haemorrage. Whether it's big or small you're either dead or nearly dead. There's a slim chance we might avoid it if we lift lockdown but the stats seem to be saying it's probably already too late""",Dubai - UAE
2020-05-30 17:57:44+00:00,"b""@Andrew_Steward9 @RussellRowland7 @KailashChandOBE @BorisJohnson If CV19 was anywhere near as bad as the 1918 flu then I'd agree. But it's at least 50x less deadly especially for the young and healthy. The Depression will kill millions and go on for a decade or more. Also, the last 2 Depressions only ended because a world war broke out.....""",Dubai - UAE
2020-05-30 17:53:15+00:00,"b""@RussellRowland7 @KailashChandOBE @Andrew_Steward9 @BorisJohnson Whatever....our arguments here won't change anything. We'll all be witness to the carnage of an economic depression very soon and the current crisis will seem minor by comparison""",Dubai - UAE
2020-05-30 17:49:19+00:00,"b""@HardeepSPuri Other nationality are allowed to travel to UAE except Indian Our jobs are at risk.We are having expenses in 2 country and with no income.Kids education,Utility bills &amp; liability it's very difficult to manage  We Might not die with covid but can die of depression""",United Arab Emirates
2020-05-30 17:19:58+00:00,b'Fut champions=severe depression',Emirate of Abu Dhabi
2020-05-30 17:09:46+00:00,b'When u dont really need a diet plan nor a sleep schedule and you just let depression balance things out for you. Growth.',UAENA ★ LUVIE ★ LAMB
2020-05-30 16:02:51+00:00,"b'Some people be saying shit like ""im soo depressed i broke my phone yesterday"" .. Bitch thats not depression... Depression isnt something that comes and goes, it sticks with u even when ur happy.. Stop acting like yall depressed for some likes ....... Dumbasses'",United Arab Emirates
2020-05-30 14:57:21+00:00,b'@has_mb @HardeepSPuri @RahulGandhi @MEAIndia @MoCA_GoI @DrSJaishankar @SonuSood @cgidubai @PMOIndia @AAI_Official We might not die due to covid19 but will surely die in depression and stress of managing so may responsibility  \xf0\x9f\x99\x8f  request you to plz help us but reopening international flights',United Arab Emirates
2020-05-30 14:27:55+00:00,b'Depression naps&gt;&gt;&gt;&gt;',United Arab Emirates
2020-05-30 14:03:44+00:00,b'@BenardSiaji @Belive_Kinuthia @OleItumbi Maliza tu depression na mimi if its not his other account.',"Dubai, United Arab Emirates"
2020-05-30 14:00:53+00:00,"b""@cgidubai @MEAIndia @MoCA_GoI @IndembAbuDhabi @MOS_MEA @airindiain @DDNewslive .Dear sir, daily I'm sending lot of mails and not getting any calls or mails. Please help me to travel back to Kerala.  This is my third month without job. My visa also cancelled.Unemployment and depression is killing me here.  Thomas Peter Passport no :p4654443 +971525729796.""","Abu Dhabi, United Arab Emirate"
2020-05-30 14:00:06+00:00,"b'#bringbackuaeresidents Tears you cry when your four year old shows signs of depression because she hasn\xe2\x80\x99t seen her dad for 5 months. She won\xe2\x80\x99t shed them, so I do for her because my heart breaks for her.....and for me. https://t.co/5g0U1WOs8z'","Dubai, United Arab Emirates"
2020-05-30 13:44:30+00:00,"b""Mood:  ' Trip to somewhere far away from depression and you '   It will kill me soon \xf0\x9f\xa5\x80""","Dubai, United Arab Emirates"
2020-05-30 12:17:24+00:00,b'Friend: Bilal I had a dream that you had a model as your girlfriend and she left you and you went into some deep depression. Me:  1. I don\xe2\x80\x99t know what\xe2\x80\x99s depression 2. Who\xe2\x80\x99s the model chika? \xf0\x9f\xa5\xb3',"Dubai, United Arab Emirates"
2020-05-30 12:12:58+00:00,"b'Unfortunately, half people with #MultipleSclerosis experience difficulty sleeping due to many possible causes such as frequent night-time urination, #depression, spasticity, and sleeping position. Talk to your #doctor about your problem to help you figure out how to #sleep better https://t.co/Tl78Wdnl51'","Al Ain, UAE"
2020-05-30 11:44:27+00:00,"b""At this point, I am so done woth everything that I'm just waiting for God to take my soul. And no, this ain't depression. It's me having absolutely no hope for this fucked up world.  #AllLivesMatters""","Dubai, United Arab Emirates"
2020-05-30 11:20:09+00:00,b'A7s fene mood adsh relationship w a6l3 w adsh fee depression.\xf0\x9f\x98\x82\xf0\x9f\x98\x82 And I don\xe2\x80\x99t even know why I want that.\xf0\x9f\x8c\x9a',United Arab Emirates
2020-05-30 11:18:41+00:00,b'When will people learn that just because you are well off doesn\xe2\x80\x99t mean you are immune to depression.',"Sharjah, United Arab Emirates"
2020-05-30 10:58:28+00:00,"b""@MoCA_GoI @ushapadhee1996 @AAI_Official @mygovindia @HardeepSPuri @PIB_India @PawanHansLtd @narendramodi @PMOIndia Dear sir, daily I'm sending lot of mails and not getting any calls or mails. Please help me to travel back to Kerala.  This is my third month without job. My visa also cancelled.Unemployment and depression is killing me here.  Thomas Peter Passport no :p4654443 +971525729796.""","Abu Dhabi, United Arab Emirate"
2020-05-30 10:32:45+00:00,b'Summer Blues mix with Corona Blues a pinch of Going Back to Work Blues = recipe for depression\xf0\x9f\x98\xab',"Dubai, United Arab Emirates"
2020-05-30 10:20:12+00:00,"b'@marketingdude This is going to be worse than the great depression.  Fortunately we have the tools, resources and historical knowledge to bounce back faster and more securely...  Until another 100 years it would seem.  Prayer for the affected.'",Dubai
2020-05-30 09:48:12+00:00,"b""@surkhminahil It's depression""","Dubai, Hometown Hazara"
2021-01-30 23:30:41+00:00,b'@nonograme made my night khalas my depression rahit',"Dubai, United Arab Emirates"
2021-01-30 20:58:40+00:00,b'@ImexlIG @Depression_A9 \xd9\x83\xd9\x8a\xd9\x88\xd8\xaa \xd8\xa7\xd9\x8a\xd8\xb4\xd8\xb4\xd8\xb4\xd8\xb4\xd8\x9f',Abu Dhabi
2021-01-30 20:13:12+00:00,b'Social media have drawn unrealistic standards &amp; this is the main cause for depression among people. \xf0\x9f\x92\xaf',Abu Dhabi 
2021-01-30 19:52:44+00:00,"b""Physical exercise is a form of preventative medicine in my view.   It's\xc2\xa0medically proven\xc2\xa0that people who do regular\xc2\xa0physical activity have:  A lower risk of a stroke, diabetes, cancer, depression, dementia and many more.  The sector needs more financial support! @RishiSunak https://t.co/CyhLoXp4oU""","UAE, MY, AUS, UK"
2021-01-30 19:48:26+00:00,b'@_pooja_behavior Mashallah \xf0\x9f\x98\x80\xf0\x9f\x98\x80 we\xe2\x80\x99re syncing in the depression and the coping mechanisms now too \xf0\x9f\x98\x8c\xf0\x9f\x98\x8c\xe2\x99\xa5\xef\xb8\x8f\xe2\x99\xa5\xef\xb8\x8f #besties',"Sharjah, UAE."
2021-01-30 18:34:58+00:00,"b""I'm the bad character in my story. I'm the evil that lurks in my heart and soul. That's why I deserve everything I'm going through. That's why I don't deserve anything good. That's why I have to feel all of the depression and sadness I'm feeling.""","AbuDhabi, United Arab Emirates"
2021-01-30 17:48:59+00:00,"b'\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c\xf0\x9f\x92\x9c My regular tweet reminding everyone to REACH OUT...Please remember those who are having a tough time, suffer from Depression, extreme stress, loneliness etc. Just a quick call or even a message will always be appreciated, the least we can do...REACH OUT AND BE THERE! https://t.co/FDsfr4b4PI'",Dubai 
2021-01-30 17:31:14+00:00,b'@cpt_depression_ @casualgamer_sa Surely not',Dubai via Cape Town
2021-01-30 14:50:47+00:00,b'I\xe2\x80\x99ll have severe depression by the end of quarantine.',"Dubai, United Arab Emirates"
2021-01-30 13:57:18+00:00,"b'@Fergusonteacher @OLewis_coaching @jakobesben Oh Nicole, as a mum of boys and a daughter of a parent who lives with chronic depression it\xe2\x80\x99s quite a tough read. But I am so interested to hear what we can be doing to embed positive changes in all our young people! #ToughRead #RealityBites'",United Arab Emirates
2021-01-30 13:50:39+00:00,"b'Finally voices starting to be heard on mainstream media. Lockdown leads to depression, alcoholism, child abuse, drug use, obesity,... The long term social and health consequences will be worse than #Covid19... https://t.co/1ytoUrE9r9'",London Paris Dubai Glasgow
2021-01-30 13:02:32+00:00,"b""- you don't understand depression until you can't stand your own presence in an empty room.""","Sharjah, United Arab Emirates"
2021-02-27 23:27:15+00:00,b'@tto5512 @Depression__D https://t.co/LjizGOKqG7',"UAE ,Abu Dhabi"
2021-02-27 22:38:37+00:00,"b'As #Lebanon\xe2\x80\x99s economy plunges into a crippling depression, it is the frontline nurses who helped the country battle the #COVID19 crisis that is bearing the brunt, according to a nursing chapter in the Middle Eastern nation.  https://t.co/cf8CWuQJDV'",Dubai
2021-02-27 22:18:21+00:00,b'The world is big enough for anxiety and depression.',"Dubai, United Arab Emirates"
2021-02-27 21:22:06+00:00,"b""Do not be a parent if you'll give your child \xe2\x9c\xa8depression\xe2\x9c\xa8""",United Arab Emirates
2021-02-27 20:16:44+00:00,b'\xd9\x87\xd8\xa7\xd9\x86\xd8\xaa \xd8\xa8\xd8\xb3 \xd8\xa8\xd8\xa7\xd9\x82\xd9\x8a\xd9\x84\xd9\x8a \xd8\xa7\xd8\xb0\xd8\xa7\xd9\x83\xd8\xb1 \xd8\xa7\xd9\x84 psychosis \xd9\x88 \xd8\xa7\xd9\x84 depression \xd9\x88 \xd8\xa7\xd8\xae\xd9\x84\xd8\xb5',United Arab Emirates 
2021-02-27 18:12:42+00:00,"b'I absolutely know what will take me out of my depression,, traveling with a group like Jake Whitehall and his father! #travelswithmyfather https://t.co/Q8g57YDOkp'","Dubai, United Arab Emirates"
2021-02-27 17:46:10+00:00,"b'@DGlaucomflecken When I put my rank list, I assumed the hospital I ranked first would be the most open minded and supportive. Ironically, the moment they found out I had depression from occupational health, they terminated my contract and I ended up without a residency.'",Dubai
2021-02-27 15:25:34+00:00,b'I never thought that i will reach this level of depression in my life.    Never .',From KSA/EGY & Living In UAE
2021-02-27 13:45:04+00:00,b'@ImexlIG @Depression_A9 \xd8\xac\xd8\xb0\xd8\xa7\xd8\xa8 \xd9\x85\xd9\x86 \xd8\xb9\xd9\x8a\xd9\x86\xd9\x87\xd9\x87 \xd8\x8c \xd8\xa7\xd9\x84\xd8\xb9\xd9\x8a\xd9\x88\xd8\xb2 \xd8\xb7\xd8\xb1\xd8\xaf\xd8\xaa\xd9\x87\xd9\x87',United Arab Emirates
2021-02-27 12:58:35+00:00,"b""#Lebanon's frontline nurses who helped in the country's #COVID19 fight are being made redundant as the country's economy sinks into a crippling depression, according to a nursing chapter in the Middle Eastern nation.  https://t.co/cf8CWuQJDV""",Dubai
2021-02-27 12:23:13+00:00,"b""@meerla_ I do it on purpose so i don't fall further into depression from doing back to back oncalls\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82""","Abudhabi, United Arab Emirates"
2021-02-27 12:10:04+00:00,b'@cpt_depression_ Happy birthday cap!!!! May your day be as blessed just as much as you bless our timelines x',Abu Dhabi 
2021-03-30 20:22:09+00:00,"b'Yesterday on my way to visit a couple of exhibitions, I bumped into friends. It was nice to chat, but responding to \xe2\x80\x9cHow are you?\xe2\x80\x9d made me feel emotional+teary eyed. Pandemic depression.  Saw these later &amp; they stayed w/ me: Tanya Habjouqa @gulfphotoplus Sathish Kumar @Ishara_Art https://t.co/7PpzSpVvU4'",Dubai
2021-03-30 17:59:47+00:00,"b'@Lukathfc also have to acknowledge the fact that he suffered from depression, and arsenal has discouraged hate on social media recently...'","Dubai, United Arab Emirates"
2021-03-30 17:26:27+00:00,b'Depression \xe2\x98\xb9\xef\xb8\x8f https://t.co/dGgGJQUpV9',Dubai
2021-03-30 17:05:34+00:00,b'Depression mode = on',"Sharjah, United Arab Emirates"
2021-03-30 14:50:47+00:00,b'@ShellsPemBroke @cpt_depression_ I\xe2\x80\x99m gonna be speaking parseltongue by sundown',Dubai via Cape Town
2021-03-30 14:43:35+00:00,b'@cpt_depression_ Accio my demise!!!',Dubai via Cape Town
2021-03-30 14:33:24+00:00,"b""@Ronak52716485 @khushi910123 @jaintr8717 @AnishAnny1 @REHANASUSHANT Good for you.all I'm saying is accept even if it is proven to be depression.because it's dangerous and common people should accept it. main nahi bol rahi hun it's not murder. wait till the investigation is complete. and let there be same love and regard even if its depression.""","Abu Dhabi, United Arab Emirates"
2021-03-30 14:11:07+00:00,b'Ok but like when are you gonna tell us about the magic makeup you use to hide your broken ribs \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d maybe your magic makeup can cure my depression too \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d tell me please \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc https://t.co/S172ZSkuUA',"Dubai, United Arab Emirates"
2021-03-30 13:43:02+00:00,b'Climbing out of depression is easier if you start by focusing on the present moment instead of anything from the past.',"Dubai, United Arab Emirates"
2022-01-30 22:47:10+00:00,"b'Concern should drive us into action, not into a depression.  ASLI WINNER UMAR RIAZ  #UmarArmy'",Dubai.United Arab Emirates
2022-01-30 20:20:44+00:00,b'Is happiness a real thing ? #depression',"Dubai, United Arab Emirates"
