Username,timestamp,tweet_text,Location
https://twitter.com/aberlinis,2019-04-23 12:42:59+00:00,"b'USA, good luck, you are all going to get schizophrenia. Have a good taste.'",Singapore
https://twitter.com/AChVoice,2020-05-29 20:30:20+00:00,"b'\xe2\x80\x9cDuring this time of #pandemic #quarantine, especially, check-in with one another. There are so many who are hurting and not doing well. There\'s more than just the virus that is deadly"": https://t.co/xkCHbsSlg1 @klclark525 #MentalHealthMatters #Bipolar #schizophrenia'",Singapore
https://twitter.com/asiaonecom,2020-05-27 10:06:30+00:00,b'Recovering from schizophrenia: She once thought she had superpowers to talk to the TV set https://t.co/7oE8dfKVyb https://t.co/gzVmcUK9FC',Singapore
https://twitter.com/thenewpaper,2020-05-27 00:02:47+00:00,b'Woman with schizophrenia uses experience to help others https://t.co/QAoBJ3THZo https://t.co/qOoqSigsxN',Singapore
https://twitter.com/mrsmartcus,2020-05-25 19:04:20+00:00,"b'The evidentiary list grows! The question is: under which category in the DSM\xe2\x80\x99s diagnoses\xe2\x80\x94 schizo-affective? Paranoid schizophrenia? Add, of course , Malignant Narcissism ! 24th Amendment, anyone? https://t.co/DK0D8Iy3yO'","Newton, MA"
https://twitter.com/afifaaaaaaah,2020-05-23 07:42:07+00:00,"b'@iff4h i am listening to it cause of you!! maybe her daughter ada schizophrenia \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad i learnt abt it in psych, they hear things, such as telling them to kill theirselves. not ruling out the possibility of jinn tho, but it sounds a lot like a violent schizo... \xf0\x9f\x98\xa2'",Singapore
https://twitter.com/GalenGrowth,2021-03-30 06:44:01+00:00,"b""Novartis trial shows no benefits from Pear's schizophrenia app as CEO cites trial irregularities https://t.co/Ktb1mAc23z""",Singapore / Switzerland / USA
https://twitter.com/ChainVentures,2021-03-27 01:39:57+00:00,b'Schizophrenia https://t.co/ryPHRCcCYu',Singapore
https://twitter.com/DDGaddis,2021-03-26 21:39:21+00:00,"b'@chaveago @stacey_rudin Yes &amp; those affected are exhibiting symptoms of schizophrenia.  The air quality outside is 20 times higher than inside, so anyone that is wearing a mask outside is mentally ill,  defined as the inability to process info in a balanced, rational &amp; mature way https://t.co/ybULrp9CP0'",France & Singapore
https://twitter.com/39EssexChambers,2021-03-26 16:39:35+00:00,b'The Court of Appeal judgment: deportation of foreign criminal with paranoid schizophrenia. Zane Malik QC appeared for the Secretary of State for the Home Department. Click below to read more and for the full judgment #immigrationlaw @ZaneMalikQC',"London, Manchester, Singapore, Kuala Lumpur"
https://twitter.com/sapsonicinc,2021-03-26 07:26:40+00:00,"b'Ever since Freud, it\xe2\x80\x99s been hard to find any emotional or mental disorder that therapists haven\xe2\x80\x99t tried to plant right at the feet of your mom.  Moms do not actually cause schizophrenia. The real story is far more complex. @bobkolker reports:  https://t.co/qdUs0Bt8wR'",Singapore
https://twitter.com/OfficialYouTurn,2021-03-24 05:49:56+00:00,"b'Mental health disorders such as Schizophrenia need professional attention. Along with medication, therapy can help to deal with the disorder effectively. You can reach out to us at  Niti.Gupta@YouTurnConsulting.com today. https://t.co/ZGOyr0gGLo'",Singapore
https://twitter.com/RoyToy852,2022-03-25 03:46:20+00:00,b'@NAMIORII Ssssshhhhh. Its ok. Time to take your schizophrenia pills',Singapore
