Username,timestamp,tweet_text,Location
https://twitter.com/y0urpapii,2019-04-29 23:04:48+00:00,b'cigarrettes and depression',"Abu Dhabi, United Arab Emirates"
https://twitter.com/dhiaalhanai,2019-04-29 18:53:52+00:00,"b'@Sultaneaimi @Alyooos Islam teaches you to deal with everything in a logical, scientific matter and that applies to depression. Telling a depressed person ""hey you lack faith"" doesn\'t help anyone even if it\'s correct.'",Abu Dhabi
https://twitter.com/toyinomotoso,2019-04-29 17:56:22+00:00,"b""Stop comparing your chapter 1 to someone else's chapter 50 or else you will just die of depression""","Dubai, UAE "
https://twitter.com/AyaAlbayed,2019-04-29 16:35:08+00:00,b'Depression level 10000%',United Arab Emirates
https://twitter.com/WagdonaldDuck,2020-05-30 21:36:35+00:00,b'\xd8\xa8\xd8\xa7\xd9\x84\xd9\x85\xd9\x86\xd8\xa7\xd8\xb3\xd8\xa8\xd8\xa9 \xd8\xa7\xd9\x84\xd9\x81\xd8\xaa\xd8\xb1\xd8\xa9 \xd8\xaf\xd9\x8a \xd9\x83\xd8\xa7\xd9\x86\xd8\xaa \xd9\x85\xd9\x86 \xd8\xa7\xd8\xb3\xd9\x88\xd8\xa3 \xd9\x81\xd8\xaa\xd8\xb1\xd8\xa7\xd8\xaa \xd8\xad\xd9\x8a\xd8\xa7\xd8\xaa\xd9\x8a \xd8\xaa\xd9\x82\xd8\xb1\xd9\x8a\xd8\xa8\xd8\xa7\xd9\x8b\xd8\x8c \xd9\x83\xd9\x86\xd8\xaa \xd8\xa8\xd9\x82\xd8\xa7\xd9\x84\xd9\x8a \xd9\x83\xd8\xa7\xd9\x85 \xd8\xb4\xd9\x87\xd8\xb1 \xd9\x84\xd8\xb3\xd8\xa9 \xd9\x85\xd9\x83\xd8\xaa\xd8\xb4\xd9\x81 \xd8\xa5\xd9\x86\xd9\x8a \xd8\xb9\xd9\x86\xd8\xaf\xd9\x8a persistent depression \xd9\x88 \xd8\xa7\xd9\x84\xd9\x8a \xd9\x83\xd8\xa7\xd9\x86 \xd8\xb9\xd8\xa7\xd9\x8a\xd8\xb4 \xd9\x85\xd8\xb9\xd8\xa7\xd9\x8a\xd8\xa7 \xd8\xa8\xd9\x82\xd8\xa7\xd9\x84\xd9\x87 \xd9\x81\xd8\xaa\xd8\xb1\xd8\xa9\xd8\x8c \xd9\x83\xd9\x86\xd8\xaa \xd9\x81\xd8\xa7\xd9\x82\xd8\xaf \xd8\xa7\xd9\x84\xd8\xa3\xd9\x85\xd9\x84 \xd9\x81\xd9\x8a \xd9\x83\xd9\x84 \xd8\xb4\xd9\x8a\xd8\xa1 \xd9\x88 \xd9\x83\xd8\xa7\xd9\x86 \xd8\xa8\xd9\x8a\xd8\xb9\xd8\xaf\xd9\x8a \xd8\xb9\xd9\x84\xd9\x8a\xd8\xa7 \xd8\xa3\xd9\x88\xd9\x82\xd8\xa7\xd8\xaa \xd8\xb5\xd8\xb9\xd8\xa8\xd8\xa9 \xd8\xac\xd8\xaf\xd8\xa7\xd9\x8b\xd8\x8c \xd9\x83\xd9\x86\xd8\xaa \xd8\xb9\xd8\xa7\xd9\x8a\xd8\xb4 \xd9\x85\xd9\x86 \xd8\xaf\xd9\x88\xd9\x86 \xd8\xb1\xd9\x88\xd8\xad \xd8\xaa\xd9\x82\xd8\xb1\xd9\x8a\xd8\xa8\xd8\xa7\xd9\x8b\xd8\x8c \xd8\xa8\xd8\xa7\xd9\x83\xd9\x84 \xd9\x88 \xd8\xa8\xd8\xb4\xd8\xb1\xd8\xa8 \xd8\xa8\xd8\xb4\xd9\x83\xd9\x84 \xd8\xba\xd9\x8a\xd8\xb1 \xd8\xb7\xd8\xa8\xd9\x8a\xd8\xb9\xd9\x8a \xd9\x8a\xd8\xa7 \xd8\xa5\xd9\x85\xd8\xa7 \xd9\x85\xd8\xa8\xd8\xa7\xd9\x83\xd9\x84\xd8\xb4 \xd8\xae\xd8\xa7\xd9\x84\xd8\xb5\xd8\x8c',"AbuDhabi, United Arab Emirates"
https://twitter.com/shayandahalf,2020-05-30 20:31:16+00:00,"b'Wanted to be an astronaut as a kid but didn\xe2\x80\x99t think it could happen. So it didn\xe2\x80\x99t. Regret. One day if my daughter asks abt dreaming big I\xe2\x80\x99ll tell her about @elonmusk who in the middle of a pandemic, sharpest recession since the Great Depression, sent humans back into space @NASA https://t.co/MbVcfBnLbx'","Dubai, UAE"
https://twitter.com/gulftoday,2020-05-30 20:16:49+00:00,"b""Oman's Dhofar Governorate is currently experiencing thunderstorms, torrential rain affected by tropical depression with flooded wadis. https://t.co/Wd48ztVie2""","UAE, Sharjah"
https://twitter.com/rohanitarohin,2020-05-30 19:34:24+00:00,b'When It\xe2\x80\x99s Not the Blues: Depression in Children  https://t.co/W1pDcGHxEN',UAE
https://twitter.com/LeighLucasi,2020-05-30 19:29:31+00:00,"b'My boyfriend honestly deserves the world, but all i could give him is my  small titties and depression.'",Ras Al Khaimah
https://twitter.com/Magsman7,2020-05-30 18:15:33+00:00,"b""@RussellRowland7 @KailashChandOBE @Andrew_Steward9 @BorisJohnson Unfortunately there's no such thing as a mild depression. It's kinda like a brain haemorrage. Whether it's big or small you're either dead or nearly dead. There's a slim chance we might avoid it if we lift lockdown but the stats seem to be saying it's probably already too late""",Dubai - UAE
