,0,timestamp,username
0,im extremely grateful for the people who still rock with my bipolar ass,2019-02-27 23:56:24+00:00,https://twitter.com/n3ll__
1,i never really read books on bipolar when i found out. i read up some medical articles but i truly enjoyed reading articles from others who also suffer the same condition. personal experiences resonates with me more and its given me the courage to also write about my journey :,2019-02-27 23:48:33+00:00,https://twitter.com/glennymah
2,lol none are available rn unless youre having a crisis but i dont need a therapist just a human that i am not at all close wit,2019-02-27 23:45:01+00:00,https://twitter.com/blackgyalami
3,actually i have a wife with lupus and bipolar disorder and i have severe back issues and am on a maintenance drug for an opioid addiction that started because of my back so i know a little about health insuranc,2019-02-27 23:44:22+00:00,https://twitter.com/BillylumberghJr
4,people who don't understand things always attack them. i was told for many years that i was diagnosed with bipolar disorder but they were wrong. i was called every stereotype you can think of so it made me learn more about it. i used to help people see the difference but gave u,2019-02-27 23:42:29+00:00,https://twitter.com/SilentStorm80
5,i have bipolar and i tell myself to just chill out and wait all the time. it helps,2019-02-27 23:41:53+00:00,https://twitter.com/disastridf
6,the bipolar in me is coming out tonight,2019-03-30 23:50:10+00:00,https://twitter.com/TiffanyMRuffin
7,"hello julia, i'm an it manager w/ devops/automation experience (elastic elk) not an elastic employee. just interested in applications w/ suicide prevention in mind. not medical researcher either. i am a bipolar it who has lost friends to suicide. i am looking for ways to hel",2019-03-30 23:44:07+00:00,https://twitter.com/grok421
8,none of you bitches got me a gift for world bipolar day,2019-03-30 23:42:46+00:00,https://twitter.com/EwHilary
9,ive been making some bipolar ass tunes lately my mom probably thinks there is something wrong lo,2019-04-29 23:55:00+00:00,https://twitter.com/isaac_garay37
10,so she was probably bipolar. her proto-self harm was falling off barstools and down stairs. her friends called it her ongoing parlor trick. and her voice just sears my soul,2019-04-29 23:45:21+00:00,https://twitter.com/ConservativeLA
11,hang in there man. i have a friend that has bipolar so i can kind of understand. we all here are here for ya &amp; support ya. https://t.co/gamfbumae,2019-04-29 23:45:10+00:00,https://twitter.com/Shadow99876
